fileName;precision;recall
4601.csv;1.0;0.02
357.csv;;0
2943.csv;1.0;0.03
991.csv;;0
3337.csv;1.0;0.01
985.csv;1.0;0.03
3824.csv;;0
651.csv;;0
1910.csv;;0
2819.csv;1.0;0.05
4298.csv;;0
998.csv;1.0;0.01
3404.csv;;0
592.csv;1.0;0.03
3608.csv;;0
1124.csv;1.0;0.02
1800.csv;1.0;0.01
3289.csv;1.0;0.02
3451.csv;;0
2935.csv;1.0;0.01
759.csv;;0
2777.csv;1.0;0.01
2923.csv;;0
2563.csv;1.0;0.03
1406.csv;;0
1161.csv;;0
4082.csv;1.0;0.01
2831.csv;1.0;0.01
2665.csv;;0
440.csv;1.0;0.01
3879.csv;1.0;0.02
4558.csv;1.0;0.01
4761.csv;1.0;0.04
1874.csv;1.0;0.02
1876.csv;1.0;0.02
3478.csv;1.0;0.03
528.csv;;0
1895.csv;1.0;0.02
2605.csv;1.0;0.01
4810.csv;1.0;0.03
905.csv;1.0;0.03
4935.csv;1.0;0.02
4583.csv;1.0;0.03
2815.csv;;0
332.csv;1.0;0.01
38.csv;1.0;0.01
906.csv;1.0;0.01
3295.csv;1.0;0.02
3963.csv;;0
4488.csv;;0
346.csv;;0
2693.csv;;0
889.csv;;0
3978.csv;;0
3149.csv;1.0;0.01
1679.csv;1.0;0.02
1927.csv;1.0;0.02
152.csv;1.0;0.01
2571.csv;1.0;0.04
4765.csv;;0
1562.csv;;0
4148.csv;;0
3476.csv;;0
4971.csv;;0
1684.csv;1.0;0.02
4932.csv;1.0;0.03
4143.csv;1.0;0.05
3283.csv;1.0;0.01
3570.csv;1.0;0.01
2860.csv;1.0;0.02
718.csv;;0
3914.csv;;0
546.csv;1.0;0.01
604.csv;1.0;0.01
2634.csv;;0
4152.csv;;0
3438.csv;;0
3821.csv;1.0;0.01
4960.csv;;0
1430.csv;1.0;0.02
2202.csv;;0
4184.csv;;0
390.csv;1.0;0.01
1299.csv;1.0;0.01
1450.csv;;0
723.csv;;0
3281.csv;1.0;0.02
1329.csv;1.0;0.01
2115.csv;1.0;0.04
1159.csv;;0
1230.csv;1.0;0.01
2702.csv;1.0;0.01
1375.csv;1.0;0.01
2412.csv;;0
4655.csv;;0
492.csv;;0
1644.csv;;0
2598.csv;1.0;0.03
385.csv;;0
2379.csv;;0
1662.csv;;0
3571.csv;;0
2988.csv;1.0;0.01
4164.csv;1.0;0.04
1754.csv;;0
3128.csv;;0
3939.csv;1.0;0.02
2932.csv;1.0;0.03
3942.csv;1.0;0.01
4162.csv;1.0;0.03
2169.csv;1.0;0.01
2892.csv;1.0;0.04
342.csv;1.0;0.01
4835.csv;1.0;0.02
2939.csv;1.0;0.02
3287.csv;1.0;0.03
4045.csv;1.0;0.01
2041.csv;;0
2447.csv;;0
3379.csv;1.0;0.02
1522.csv;;0
1283.csv;;0
3704.csv;1.0;0.02
2558.csv;;0
2670.csv;;0
4264.csv;1.0;0.02
474.csv;;0
3217.csv;1.0;0.02
3090.csv;1.0;0.01
4341.csv;;0
2215.csv;;0
